Date         Open     High     Low      Close*   Adj Close** Volume
Nov 26, 2021 1,099.47 1,108.78 1,081.00 1,081.92 1,081.92    11,680,900
Nov 24, 2021 1,080.39 1,132.77 1,062.00 1,116.00 1,116.00    22,560,200
Nov 23, 2021 1,167.51 1,180.50 1,062.70 1,109.03 1,109.03    36,095,100
Nov 22, 2021 1,162.33 1,201.95 1,132.43 1,156.87 1,156.87    33,072,500
Nov 19, 2021 1,098.87 1,138.72 1,092.70 1,137.06 1,137.06    21,168,000
Nov 18, 2021 1,106.55 1,112.00 1,075.02 1,096.38 1,096.38    20,898,900
Nov 17, 2021 1,063.51 1,119.64 1,055.50 1,089.01 1,089.01    31,445,400
Nov 16, 2021 1,003.31 1,057.20 1,002.18 1,054.73 1,054.73    26,542,400
Nov 15, 2021 1,017.63 1,031.98 978.60   1,013.39 1,013.39    34,775,600
Nov 12, 2021 1,047.50 1,054.50 1,019.20 1,033.42 1,033.42    25,182,300
Nov 11, 2021 1,102.77 1,104.97 1,054.68 1,063.51 1,063.51    22,396,600
Nov 10, 2021 1,010.41 1,078.10 987.31   1,067.95 1,067.95    42,802,700
Nov 09, 2021 1,173.60 1,174.50 1,011.52 1,023.50 1,023.50    59,105,800
Nov 08, 2021 1,149.79 1,197.00 1,133.00 1,162.94 1,162.94    33,445,700
Nov 05, 2021 1,228.00 1,239.87 1,208.00 1,222.09 1,222.09    21,579,900
Nov 04, 2021 1,234.41 1,243.49 1,217.00 1,229.91 1,229.91    25,397,400
Nov 03, 2021 1,177.33 1,215.39 1,152.62 1,213.86 1,213.86    34,628,500
Nov 02, 2021 1,159.36 1,208.59 1,146.00 1,172.00 1,172.00    42,737,800
Nov 01, 2021 1,145.00 1,209.75 1,118.66 1,208.59 1,208.59    56,048,700
Oct 29, 2021 1,081.86 1,115.21 1,073.21 1,114.00 1,114.00    29,918,400
Oct 28, 2021 1,068.31 1,081.00 1,054.20 1,077.04 1,077.04    27,213,200
Oct 27, 2021 1,039.66 1,070.88 1,030.78 1,037.86 1,037.86    38,526,500
Oct 26, 2021 1,024.69 1,094.94 1,001.44 1,018.43 1,018.43    62,415,000
Oct 25, 2021 950.53   1,045.02 944.20   1,024.86 1,024.86    62,852,100
Oct 22, 2021 895.50   910.00   890.96   909.68   909.68      22,880,800
Oct 21, 2021 856.00   900.00   855.50   894.00   894.00      31,481,500
Oct 20, 2021 865.35   869.49   857.38   865.80   865.80      14,032,100
Oct 19, 2021 877.53   877.95   862.51   864.27   864.27      17,381,100
Oct 18, 2021 851.79   875.26   851.47   870.11   870.11      24,207,200
Oct 15, 2021 823.74   843.21   822.35   843.03   843.03      18,818,000
Oct 14, 2021 815.49   820.25   813.35   818.32   818.32      12,247,200
Oct 13, 2021 810.47   815.41   805.78   811.08   811.08      14,120,100
Oct 12, 2021 800.93   812.32   796.57   805.72   805.72      22,020,000
Oct 11, 2021 787.65   801.24   785.50   791.94   791.94      14,200,300
Oct 08, 2021 796.21   796.38   780.91   785.49   785.49      16,711,100
Oct 07, 2021 785.46   805.00   783.38   793.61   793.61      19,195,800
Oct 06, 2021 776.20   786.66   773.22   782.75   782.75      14,632,800
Oct 05, 2021 784.80   797.31   774.20   780.59   780.59      18,432,600
Oct 04, 2021 796.50   806.97   776.12   781.53   781.53      30,483,300
Oct 01, 2021 778.40   780.78   763.59   775.22   775.22      17,031,400
Sep 30, 2021 781.00   789.13   775.00   775.48   775.48      17,956,000
Sep 29, 2021 779.80   793.50   770.68   781.31   781.31      20,942,900
Sep 28, 2021 787.20   795.64   766.18   777.56   777.56      25,381,400
Sep 27, 2021 773.12   799.00   769.31   791.36   791.36      28,070,700
Sep 24, 2021 745.89   774.80   744.56   774.39   774.39      21,373,000
Sep 23, 2021 755.00   758.20   747.92   753.64   753.64      11,947,500
Sep 22, 2021 743.53   753.67   739.12   751.94   751.94      15,126,300
Sep 21, 2021 734.79   744.74   730.44   739.38   739.38      16,330,700
Sep 20, 2021 734.56   742.00   718.62   730.17   730.17      24,757,700
Sep 17, 2021 757.15   761.04   750.00   759.49   759.49      28,204,200
Sep 16, 2021 752.83   758.91   747.61   756.99   756.99      13,923,400
Sep 15, 2021 745.00   756.86   738.36   755.83   755.83      15,357,700
Sep 14, 2021 742.57   754.47   736.40   744.49   744.49      18,524,900
Sep 13, 2021 740.21   744.78   708.85   743.00   743.00      22,952,500
Sep 10, 2021 759.60   762.61   734.52   736.27   736.27      15,114,300
Sep 09, 2021 753.41   762.10   751.63   754.86   754.86      14,077,700
Sep 08, 2021 761.58   764.45   740.77   753.87   753.87      18,793,000
Sep 07, 2021 740.00   760.20   739.26   752.92   752.92      20,039,800
Sep 03, 2021 732.25   734.00   724.20   733.57   733.57      15,246,100
Sep 02, 2021 734.50   740.97   730.54   732.39   732.39      12,777,300
Sep 01, 2021 734.08   741.99   731.27   734.09   734.09      13,204,300
Aug 31, 2021 733.00   740.39   726.44   735.72   735.72      20,855,400
Aug 30, 2021 714.72   731.00   712.73   730.91   730.91      18,604,200
Aug 27, 2021 705.00   715.00   702.10   711.92   711.92      13,762,100
Aug 26, 2021 708.31   715.40   697.62   701.16   701.16      13,214,300
Aug 25, 2021 707.03   716.97   704.00   711.20   711.20      12,645,600
Aug 24, 2021 710.68   715.22   702.64   708.49   708.49      13,083,100
Aug 23, 2021 685.44   712.13   680.75   706.30   706.30      20,264,900
Aug 20, 2021 682.85   692.13   673.70   680.26   680.26      14,781,800
Aug 19, 2021 678.21   686.55   667.59   673.47   673.47      14,313,500
Aug 18, 2021 669.75   695.77   669.35   688.99   688.99      20,349,400
Aug 17, 2021 672.66   674.58   648.84   665.71   665.71      23,721,300
Aug 16, 2021 705.07   709.50   676.40   686.17   686.17      22,677,400
Aug 13, 2021 723.71   729.90   714.34   717.17   717.17      16,698,900
Aug 12, 2021 706.34   722.80   699.40   722.25   722.25      17,459,100
Aug 11, 2021 712.71   715.18   704.21   707.82   707.82      9,800,600
Aug 10, 2021 713.99   716.59   701.88   709.99   709.99      13,432,300
Aug 09, 2021 710.17   719.03   705.13   713.76   713.76      14,715,300
Aug 06, 2021 711.90   716.33   697.63   699.10   699.10      15,576,200
Aug 05, 2021 716.00   720.95   711.41   714.63   714.63      12,919,600
Aug 04, 2021 711.00   724.90   708.93   710.92   710.92      17,002,600
Aug 03, 2021 719.00   722.65   701.01   709.74   709.74      21,620,300
Aug 02, 2021 700.00   726.94   698.40   709.67   709.67      33,615,800
Jul 30, 2021 671.76   697.53   669.00   687.20   687.20      29,600,500
Jul 29, 2021 649.79   683.69   648.80   677.35   677.35      30,394,600
Jul 28, 2021 647.00   654.97   639.40   646.98   646.98      16,006,600
Jul 27, 2021 663.40   666.50   627.24   644.78   644.78      32,813,300
Jul 26, 2021 650.97   668.20   647.11   657.62   657.62      25,336,600
Jul 23, 2021 646.36   648.80   637.30   643.38   643.38      14,604,900
Jul 22, 2021 656.44   662.17   644.60   649.26   649.26      15,105,700
Jul 21, 2021 659.61   664.86   650.29   655.29   655.29      13,953,300
Jul 20, 2021 651.99   662.39   640.50   660.50   660.50      15,487,100
Jul 19, 2021 629.89   647.20   621.29   646.22   646.22      21,297,100
Jul 16, 2021 654.68   656.70   642.20   644.22   644.22      16,371,000
Jul 15, 2021 658.39   666.14   637.88   650.60   650.60      20,209,600
Jul 14, 2021 670.75   678.61   652.84   653.38   653.38      21,641,200
Jul 13, 2021 686.32   693.28   666.30   668.54   668.54      20,966,100
Jul 12, 2021 662.20   687.24   662.16   685.70   685.70      25,927,000
Jul 09, 2021 653.18   658.91   644.69   656.95   656.95      18,140,500
Jul 08, 2021 628.37   654.43   620.46   652.81   652.81      22,773,300
